Want to insert FMAI for this page ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Week Starting,Values,,,,,,,,How to use:
,,,31-Mar,,7-Apr,,,,,,,1. Update March - RAW tab (Data should auto populate in this sheet)
product_name,geo,publisher_name,SUM of gross_spends,SUM of total_events,SUM of gross_spends,SUM of total_events,% Change Spend,% Change Event,Spend Delta,Event Delta,,"2. Adjust filter for ""Week Starting"" so you are only looking at the previous two weeks (This pivot sheet is built to look at two weeks at a time, any additional columns will cause an error)"
driver,BR,Kayzen,5526,100,5436,93,-1.63%,-7.00%,-$90.00,-7,,3. % Change for Spend and Event should auto update between weeks
,BR Total,,5526,100,5436,93,-1.63%,-7.00%,-$90.00,-7,,
driver Total,,,5526,100,5436,93,-1.63%,-7.00%,-$90.00,-7,,Example:
eaters,AU,Tapjoy,0,0,36,1,0.00%,0.00%,$36.00,1,,"Comparing week 1 vs week 2, the following week, remove week 1 and add week 3, the following week remove week 2 and add week 4, etc..."
,AU Total,,0,0,36,1,0.00%,0.00%,$36.00,1,,
,CA,AdAction,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,AppLovin,0,0,,,0.00%,0.00%,$0.00,0,,
,,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,InMobi,2250,50,2295,51,2.00%,2.00%,$45.00,1,,
,,ironSource,50,2,0,0,-100.00%,-100.00%,-$50.00,-2,,
,,Jampp,25092.92,208,25216.68,188,0.49%,-9.62%,$123.76,-20,,
,,Tapjoy,25,1,0,0,-100.00%,-100.00%,-$25.00,-1,,
,CA Total,,27417.92,261,27511.68,239,0.34%,-8.43%,$93.76,-22,,
,CL,Tapjoy,0,0,0,0,0.00%,0.00%,$0.00,0,,
,CL Total,,0,0,0,0,0.00%,0.00%,$0.00,0,,
,DE,Apptimus,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,InMobi,0,0,,,0.00%,0.00%,$0.00,0,,
,,SHAREit,,,0,0,0.00%,0.00%,$0.00,0,,
,,Tapjoy,140,4,0,0,-100.00%,-100.00%,-$140.00,-4,,
,,Xapads,3570,119,2850,95,-20.17%,-20.17%,-$720.00,-24,,
,DE Total,,3710,123,2850,95,-23.18%,-22.76%,-$860.00,-28,,
,ES,InMobi,1120,56,900,45,-19.64%,-19.64%,-$220.00,-11,,
,,Xapads,7600,380,7900,395,3.95%,3.95%,$300.00,15,,
,ES Total,,8720,436,8800,440,0.92%,0.92%,$80.00,4,,
,FR,InMobi,1785,51,2590,74,45.10%,45.10%,$805.00,23,,
,,Jampp,13365.84,292,9839.57,274,-26.38%,-6.16%,"-$3,526.27",-18,,
,,Match_Group,,,0,0,0.00%,0.00%,$0.00,0,,
,,Taboola,,,0,0,0.00%,0.00%,$0.00,0,,
,,Tapjoy,35,1,70,2,100.00%,100.00%,$35.00,1,,
,,Xapads,7320,244,6900,230,-5.74%,-5.74%,-$420.00,-14,,
,FR Total,,22505.84,588,19399.57,580,-13.80%,-1.36%,"-$3,106.27",-8,,
,GB,AdAction,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,AppLovin,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,Jampp,5967.88,113,6005.69,116,0.63%,2.65%,$37.81,3,,
,,Tapjoy,30,1,0,0,-100.00%,-100.00%,-$30.00,-1,,
,,Xapads,1530,51,1980,66,29.41%,29.41%,$450.00,15,,
,GB Total,,7527.88,165,7985.69,182,6.08%,10.30%,$457.81,17,,
,MX,InMobi,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,Jampp,11980.22,260,9207.6,237,-23.14%,-8.85%,"-$2,772.62",-23,,
,,Tapjoy,0,0,0,0,0.00%,0.00%,$0.00,0,,
,MX Total,,11980.22,260,9207.6,237,-23.14%,-8.85%,"-$2,772.62",-23,,
,TW,Jampp,1336.99,55,1170.58,43,-12.45%,-21.82%,-$166.41,-12,,
,,Tapjoy,55.5,3,55.5,3,0.00%,0.00%,$0.00,0,,
,TW Total,,1392.49,58,1226.08,46,-11.95%,-20.69%,-$166.41,-12,,
,US,AppLovin,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,BlastBucks,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,InMobi,9985,167,7200,120,-27.89%,-28.14%,"-$2,785.00",-47,,
,,ironSource,2100,35,2100,35,0.00%,0.00%,$0.00,0,,
,,ironsourceAURA,1850,37,1600,32,-13.51%,-13.51%,-$250.00,-5,,
,,Jampp,20639.87,269,20760.24,237,0.58%,-11.90%,$120.37,-32,,
,,Samsung,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,Scrambly,2240,64,1960,56,-12.50%,-12.50%,-$280.00,-8,,
,,T-Mobile,,,0,0,0.00%,0.00%,$0.00,0,,
,,Tapjoy,2275,65,3465,99,52.31%,52.31%,"$1,190.00",34,,
,,W._Digital,0,0,0,0,0.00%,0.00%,$0.00,0,,
,US Total,,39089.87,637,37085.24,579,-5.13%,-9.11%,"-$2,004.63",-58,,
eaters Total,,,122344.22,2528,114101.86,2399,-6.74%,-5.10%,"-$8,242.36",-129,,
rider,AR,InMobi,2704.5,601,2119.5,471,-21.63%,-21.63%,-$585.00,-130,,
,,Jampp,4083.2,1172,4081.75,1057,-0.04%,-9.81%,-$1.45,-115,,
,AR Total,,6787.7,1773,6201.25,1528,-8.64%,-13.82%,-$586.45,-245,,
,AU,InMobi,270,18,345,23,27.78%,27.78%,$75.00,5,,
,,Jampp,1841.8,30,1863.56,50,1.18%,66.67%,$21.76,20,,
,AU Total,,2111.8,48,2208.56,73,4.58%,52.08%,$96.76,25,,
,BR,InMobi,4902,561,5585,640,13.93%,14.08%,$683.00,79,,
,,Jampp,8431.73,1468,8243.23,1327,-2.24%,-9.60%,-$188.50,-141,,
,,Match_Group,0,0,,,0.00%,0.00%,$0.00,0,,
,BR Total,,13333.73,2029,13828.23,1967,3.71%,-3.06%,$494.50,-62,,
,CA,AdAction,25,1,0,0,-100.00%,-100.00%,-$25.00,-1,,
,,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,InMobi,3120,104,3330,111,6.73%,6.73%,$210.00,7,,
,,Jampp,3564.83,61,3127.27,36,-12.27%,-40.98%,-$437.56,-25,,
,CA Total,,6709.83,166,6457.27,147,-3.76%,-11.45%,-$252.56,-19,,
,DE,Xapads,3100,155,2960,148,-4.52%,-4.52%,-$140.00,-7,,
,DE Total,,3100,155,2960,148,-4.52%,-4.52%,-$140.00,-7,,
,ES,InMobi,90,9,180,18,100.00%,100.00%,$90.00,9,,
,,Jampp,2728.44,196,2721.27,217,-0.26%,10.71%,-$7.17,21,,
,,Xapads,26,2,0,0,-100.00%,-100.00%,-$26.00,-2,,
,ES Total,,2844.44,207,2901.27,235,2.00%,13.53%,$56.83,28,,
,FR,Jampp,930.03,62,828.99,41,-10.86%,-33.87%,-$101.04,-21,,
,,Match_Group,0,0,,,0.00%,0.00%,$0.00,0,,
,,Xapads,1599,123,2288,176,43.09%,43.09%,$689.00,53,,
,FR Total,,2529.03,185,3116.99,217,23.25%,17.30%,$587.96,32,,
,GB,AdAction,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,InMobi,4795,143,5215,149,8.76%,4.20%,$420.00,6,,
,,Jampp,2447.18,198,2155.91,155,-11.90%,-21.72%,-$291.27,-43,,
,,Xapads,2079,99,2436,116,17.17%,17.17%,$357.00,17,,
,GB Total,,9321.18,440,9806.91,420,5.21%,-4.55%,$485.73,-20,,
,HK,InMobi,,,12,2,0.00%,0.00%,$12.00,2,,
,HK Total,,,,12,2,0.00%,0.00%,$12.00,2,,
,IN,InMobi,2275.17,920,1598.32,858,-29.75%,-6.74%,-$676.85,-62,,
,,Jampp,8671.05,1764,8438.9,1657,-2.68%,-6.07%,-$232.15,-107,,
,,ShareChat,0,0,,,0.00%,0.00%,$0.00,0,,
,,SHAREit,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,Xapads,2066,1033,2474,1237,19.75%,19.75%,$408.00,204,,
,IN Total,,13012.22,3717,12511.22,3752,-3.85%,0.94%,-$501.00,35,,
,JP,ayeT-Studios,0,0,0,0,0.00%,0.00%,$0.00,0,,
,,NativeX,0,0,0,0,0.00%,0.00%,$0.00,0,,
,JP Total,,0,0,0,0,0.00%,0.00%,$0.00,0,,
,MX,InMobi,2778.98,220,2336.99,164,-15.90%,-25.45%,-$441.99,-56,,
,,Jampp,2877.49,321,2833,278,-1.55%,-13.40%,-$44.49,-43,,
,MX Total,,5656.47,541,5169.99,442,-8.60%,-18.30%,-$486.48,-99,,
,TW,InMobi,,,0,0,0.00%,0.00%,$0.00,0,,
,TW Total,,,,0,0,0.00%,0.00%,$0.00,0,,
,US,BlastBucks,0,0,0,0,0.00%,0.00%,$0.00,0,,
,US Total,,0,0,0,0,0.00%,0.00%,$0.00,0,,
rider Total,,,65406.4,9261,65173.69,8931,,,,,,
Grand Total,,,193276.62,11889,184711.55,11423,,,,,,
